Noblesse Lifestyle Group e-commerce product list ,,, ,   ,,, ,,,,,Details,,,*Separate tab,,
Brand,Product,Type,Thread Count,Size (cm),Price (HKD),Weight (g),Description 1,Description 2,Description 3,,,Cover,Fabric,Filling,Washing instructions,Warmth,Origin
Dauny,duvet,Climaactive® Outlast® Medium,,155x220,"14,000",500,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy duvet, quilted with a caro design and
including pro-active climate management for
greater comfort as you sleep.
With an underlying high quality Outlast® fabric.
The right warmth for any time of year.",,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.A cosy duvet, quilted with a caro design and
including pro-active climate management for
greater comfort as you sleep.
With an underlying high quality Outlast® fabric.
The right warmth for any time of year.",738,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Climaactive® Outlast® Medium,,200x220,"18,000",650,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy duvet, quilted with a caro design and
including pro-active climate management for
greater comfort as you sleep.
With an underlying high quality Outlast® fabric.
The right warmth for any time of year.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Climaactive® Outlast® Medium,,220x240,"22,000",790,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy duvet, quilted with a caro design and
including pro-active climate management for
greater comfort as you sleep.
With an underlying high quality Outlast® fabric.
The right warmth for any time of year.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Climaactive® Outlast® Medium,,240x260,"26,000",930,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy duvet, quilted with a caro design and
including pro-active climate management for
greater comfort as you sleep.
With an underlying high quality Outlast® fabric.
The right warmth for any time of year.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,3,Switzerland
Dauny,duvet,Climaactive® Outlast® Light,,155x220,"11,800",370,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy yet light duvet, quilted with a caro
design and including pro-active climate
management for greater comfort as you sleep.
With an underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Climaactive® Outlast® Light,,200x220,"15,400",480,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy yet light duvet, quilted with a caro
design and including pro-active climate
management for greater comfort as you sleep.
With an underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Climaactive® Outlast® Light,,220x240,"18,800",570,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy yet light duvet, quilted with a caro
design and including pro-active climate
management for greater comfort as you sleep.
With an underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Climaactive® Outlast® Light,,240x260,"22,000",690,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","A cosy yet light duvet, quilted with a caro
design and including pro-active climate
management for greater comfort as you sleep.
With an underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,2,Switzerland
Dauny,duvet,Climaactive® Outlast® Superlight,,155x220,"9,600",240,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","Summertime – an exceptionally light
summer duvet, quilted with a caro design
and including pro-active climate management
for greater comfort as you sleep. With an
underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,1,Switzerland
Dauny,duvet,Climaactive® Outlast® Superlight,,200x220,"12,800",320,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","Summertime – an exceptionally light
summer duvet, quilted with a caro design
and including pro-active climate management
for greater comfort as you sleep. With an
underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,1,Switzerland
Dauny,duvet,Climaactive® Outlast® Superlight,,220x240,"15,400",380,"If you are too cold, it warms you – if you are too warm,
it cools you! We take the finest quality goose down and
combine it with temperature regulating Outlast® high
tech fabric. This is inlaid on one side under the cover
and can therefore start working immediately.
The revolutionary Outlast® temperature regulation
concept based on PCM technology (Phase Change
Material) absorbs surplus heat and stores it. If the
temperature falls, it releases the heat again so that an
optimum temperature can be maintained throughout
the night.","Summertime – an exceptionally light
summer duvet, quilted with a caro design
and including pro-active climate management
for greater comfort as you sleep. With an
underlying high quality Outlast® fabric.",,,,"100% cotton, finest Swiss Batiste, white, hydrophilic
and breathable. With an underlying Outlast® fabric
(58% polyester, 42% silicon with PCM).",,"100% pure, new goose down, white.
Extra large cluster European top quality.
Class I (European norm)",ref to 'washing instructions' sheet,1,Switzerland
